,pn,sn,operated_cycles_1,operated_cycles_2,operated_cycles_3,operated_cycles_4,csn,tsn
0,335-009-306-0,PA164966,6774,0,0,0,6774,
1,335-006-414-0,DC055998,6774,0,0,12722,19496,
2,1275M37P02,GWN0804R,6774,0,0,10536,17310,
3,1589M66G02,GWNPV887,6774,0,6871,0,13645,
4,1590M59P01,XAEF2297,6774,0,0,9842,16616,
5,1588M89G03,GWN0917M,14146,0,0,0,14146,
6,1319M25P02,GFF5EGET,6774,0,0,0,6774,
7,1385M90P04,GWNGK578,6774,0,6871,0,13645,
8,1282M72P05,XAEJ5247,6774,0,0,0,6774,
9,1475M29P02,GWNGM885,6774,0,6165,0,12939,
10,1864M91P02,TMTTH701,14146,0,0,0,14146,
11,301-331-126-0,BB345134,19181,0,0,3427,22608,
12,301-331-322-0,88370939,19181,0,0,3427,22608,
13,305-056-116-0,DB143578,19181,0,0,3427,22608,
14,301-330-626-0,B8387368,19181,0,0,3427,22608,
